iso,Precision,Recall,F1
SN,0.6666666666666666,0.5,0.5714285714285715
SO,1.0,0.16666666666666666,0.2857142857142857
SS,0,0.0,0
ST,0.3333333333333333,0.2,0.25
SV,0.5,0.5,0.5
SY,0.0,0.0,0
SZ,0,0.0,0
TD,0.0,0.0,0
TF,0,0.0,0
TG,0,0.0,0
TH,0.4,0.16666666666666666,0.23529411764705882
TJ,0.5,1.0,0.6666666666666666
TL,1.0,1.0,1.0
TM,0.0,0.0,0
TN,0.0,0.0,0
TR,0.6666666666666666,0.6666666666666666,0.6666666666666666
TT,0,0.0,0
TW,1.0,0.4,0.5714285714285715
TZ,0.0,0.0,0
UA,0.5,1.0,0.6666666666666666
UG,0.6,0.75,0.6666666666666665
UM,0.0,0.0,0
US,0.5,0.045454545454545456,0.08333333333333334
UY,0,0.0,0
UZ,0,0.0,0
VE,0.125,1.0,0.2222222222222222
VN,0.6666666666666666,0.5,0.5714285714285715
VU,0.0,0.0,0
WF,0,0.0,0
WS,0,0.0,0
YE,0.0,0.0,0
ZA,0.3333333333333333,0.16666666666666666,0.2222222222222222
ZM,0.8,0.8,0.8000000000000002
ZW,0.5,0.2,0.28571428571428575
NA,0.4,0.4,0.4000000000000001
